Kundennummer;12345678;;
Kundenname;Mustermann Max;;
ZP-Nummer;AT0070000XXXX10000000000000XXXXXX;;
Beginn;27.03.2024;;
Ende;01.05.2024;;
Energierichtung;Verbrauch gemessen;;
;;;
;;;
Datum;Zeit;kWh;Status
30.03.2024;13:45:00;0,169;Der Wert ist gültig
30.03.2024;14:00:00;0,099;Der Wert ist gültig
30.03.2024;14:15:00;0,074;Der Wert ist gültig
30.03.2024;14:30:00;0,094;Der Wert ist gültig
30.03.2024;14:45:00;0,118;Der Wert ist gültig
30.03.2024;15:00:00;0,087;Der Wert ist gültig
30.03.2024;15:15:00;0,106;Der Wert ist gültig
30.03.2024;15:30:00;0,121;Der Wert ist gültig
30.03.2024;15:45:00;0,11;Der Wert ist gültig
30.03.2024;16:00:00;0,106;Der Wert ist gültig
30.03.2024;16:15:00;0,108;Der Wert ist gültig
30.03.2024;16:30:00;0,135;Der Wert ist gültig
30.03.2024;16:45:00;0,075;Der Wert ist gültig
30.03.2024;17:00:00;0,105;Der Wert ist gültig
30.03.2024;17:15:00;0,073;Der Wert ist gültig
30.03.2024;17:30:00;0,097;Der Wert ist gültig
30.03.2024;17:45:00;0,079;Der Wert ist gültig
30.03.2024;18:00:00;0,166;Der Wert ist gültig
30.03.2024;18:15:00;0,204;Der Wert ist gültig
30.03.2024;18:30:00;0,197;Der Wert ist gültig
30.03.2024;18:45:00;0,162;Der Wert ist gültig
30.03.2024;19:00:00;0,158;Der Wert ist gültig
30.03.2024;19:15:00;0,167;Der Wert ist gültig
30.03.2024;19:30:00;0,171;Der Wert ist gültig
30.03.2024;19:45:00;0,171;Der Wert ist gültig
30.03.2024;20:00:00;0,231;Der Wert ist gültig
30.03.2024;20:15:00;0,417;Der Wert ist gültig
30.03.2024;20:30:00;0,439;Der Wert ist gültig
30.03.2024;20:45:00;0,507;Der Wert ist gültig
30.03.2024;21:00:00;0,327;Der Wert ist gültig
30.03.2024;21:15:00;0,223;Der Wert ist gültig
30.03.2024;21:30:00;0,23;Der Wert ist gültig
30.03.2024;21:45:00;0,194;Der Wert ist gültig
30.03.2024;22:00:00;0,189;Der Wert ist gültig
30.03.2024;22:15:00;0,354;Der Wert ist gültig
30.03.2024;22:30:00;0,382;Der Wert ist gültig
30.03.2024;22:45:00;0,402;Der Wert ist gültig
30.03.2024;23:00:00;0,419;Der Wert ist gültig
30.03.2024;23:15:00;0,346;Der Wert ist gültig
30.03.2024;23:30:00;0,051;Der Wert ist gültig
30.03.2024;23:45:00;0,067;Der Wert ist gültig
31.03.2024;00:00:00;0,196;Der Wert ist gültig
31.03.2024;00:15:00;0,149;Der Wert ist gültig
31.03.2024;00:30:00;0,135;Der Wert ist gültig
31.03.2024;00:45:00;0,116;Der Wert ist gültig
31.03.2024;01:00:00;0,132;Der Wert ist gültig
31.03.2024;01:15:00;0,124;Der Wert ist gültig
31.03.2024;01:30:00;0,11;Der Wert ist gültig
